_id,site_id,tree_subj,main_subj_ids,hadith_ids,url
f0e3d30029e5bb13c7d3d1bd9a32abae,3435,تغطية الرأس للرجل المحرم,[],"['bukhari-00134', 'bukhari-05468', 'bukhari-00359', 'bukhari-01468', 'bukhari-05469', 'bukhari-05466', 'bukhari-01745']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3435
4a842f654c30e93fc1eb9ab535b1488c,3468,لبس المحرم الخف إذا وجد نعلين,[],"['bukhari-00134', 'bukhari-01744', 'bukhari-01746', 'bukhari-00359', 'bukhari-01468', 'bukhari-05468', 'bukhari-05469', 'bukhari-05514', 'bukhari-05466', 'bukhari-05458', 'bukhari-01741', 'bukhari-01745']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3468
60dc2bfac610fca09ca1a58b1cbc285c,237,الوضوء للصلاة,[],"['bukhari-04332', 'bukhari-00324', 'bukhari-00337', 'bukhari-00821', 'bukhari-00314', 'bukhari-03360', 'bukhari-04331', 'bukhari-00571', 'bukhari-00615', 'bukhari-03469', 'bukhari-00903', 'bukhari-03562', 'bukhari-00327', 'bukhari-05543', 'bukhari-00329', 'bukhari-00380', 'bukhari-04869', 'bukhari-06554', 'bukhari-00226', 'bukhari-00319', 'bukhari-00331', 'bukhari-04293', 'bukhari-03886', 'bukhari-00300', 'bukhari-00135']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=237
0067d10d832596288c9e6cc19e9e7e17,92,الريح,[],"['bukhari-00137', 'bukhari-01951', 'bukhari-00175', 'bukhari-00174', 'bukhari-06554', 'bukhari-00135']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=92
8e64a8a7981c00605b1cc5a2701c7af7,1335,من شروط صحة الصلاة الطهارة,[],"['bukhari-00947', 'bukhari-00228', 'bukhari-04332', 'bukhari-00337', 'bukhari-00175', 'bukhari-00339', 'bukhari-03360', 'bukhari-04331', 'bukhari-01140', 'bukhari-03886', 'bukhari-00135', 'bukhari-00137', 'bukhari-00571', 'bukhari-00615', 'bukhari-00181', 'bukhari-01951', 'bukhari-03469', 'bukhari-00903', 'bukhari-03562', 'bukhari-04295', 'bukhari-00327', 'bukhari-05543', 'bukhari-00229', 'bukhari-00329', 'bukhari-03378', 'bukhari-00614', 'bukhari-00380', 'bukhari-04869', 'bukhari-06554', 'bukhari-04294', 'bukhari-00331', 'bukhari-00613', 'bukhari-04296', 'bukhari-00230', 'bukhari-00227', 'bukhari-00271']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=1335
8dfb0a14d2901ac228978e3cd8202ef2,22630,إطالة الغرة والتحجيل,[],"['bukhari-05897', 'bukhari-00136']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=22630
b93e55a6ac33aa763e65968571fe4869,32582,شك المتوضىء في الحدث,[],"['bukhari-00175', 'bukhari-00137', 'bukhari-01951']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32582
90232441ed8306f720b577337829c549,30956,نوم عيني النبي دون قلبه,[],"['bukhari-07079', 'bukhari-06852', 'bukhari-00821', 'bukhari-01909', 'bukhari-00138', 'bukhari-03377', 'bukhari-01096', 'bukhari-03376']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=30956
efc899545e2ec9285292e5ed75c5dd6b,22631,الاقتصاد في مياه الوضوء,[],"['bukhari-05957', 'bukhari-00139', 'bukhari-01588', 'bukhari-00138', 'bukhari-00198']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=22631
ade261b44f6f8c38abec5171b941c6e9,31779,نوم عيون الأنبياء دون قلوبهم,[],"['bukhari-07079', 'bukhari-06852', 'bukhari-00821', 'bukhari-01909', 'bukhari-00138', 'bukhari-03377', 'bukhari-01096', 'bukhari-03376']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=31779
